"project","access","year","month","day","articles__article","articles__views","articles__rank"
"lv.wikipedia","all-access","2018","02","all-days","Sākumlapa","49040","1"
"lv.wikipedia","all-access","2018","02","all-days","Special:Search","41584","2"
"lv.wikipedia","all-access","2018","02","all-days","2018._gada_ziemas_olimpiskās_spēles","33803","3"
"lv.wikipedia","all-access","2018","02","all-days","Special:RecentChanges","16610","4"
"lv.wikipedia","all-access","2018","02","all-days","2018._gada_ziemas_olimpisko_spēļu_medaļu_tabula","13857","5"
"lv.wikipedia","all-access","2018","02","all-days","Hokejs_2018._gada_ziemas_olimpiskajās_spēlēs","13252","6"
"lv.wikipedia","all-access","2018","02","all-days","Latvija","11172","7"
"lv.wikipedia","all-access","2018","02","all-days","Ilmārs_Rimšēvičs","10198","8"
"lv.wikipedia","all-access","2018","02","all-days","Silvestrs_Stallone","9037","9"
"lv.wikipedia","all-access","2018","02","all-days","Meteņi","7981","10"
"lv.wikipedia","all-access","2018","02","all-days","Latvija_2018._gada_ziemas_olimpiskajās_spēlēs","7819","11"
"lv.wikipedia","all-access","2018","02","all-days","Special:CreateAccount","7511","12"
"lv.wikipedia","all-access","2018","02","all-days","Olimpiskās_spēles","6708","13"
"lv.wikipedia","all-access","2018","02","all-days","Hokejs_2018._gada_ziemas_olimpiskajās_spēlēs_—_vīrieši","6622","14"
"lv.wikipedia","all-access","2018","02","all-days","Otrais_pasaules_karš","5521","15"
"lv.wikipedia","all-access","2018","02","all-days","Latvija_olimpiskajās_spēlēs","5310","16"
"lv.wikipedia","all-access","2018","02","all-days","Nameja_gredzens_(filma)","5267","17"
"lv.wikipedia","all-access","2018","02","all-days","Martins_Dukurs","4964","18"
"lv.wikipedia","all-access","2018","02","all-days","Hokejs_2018._gada_ziemas_olimpiskajās_spēlēs_—_vīrieši,_kvalifikācija","4958","19"
"lv.wikipedia","all-access","2018","02","all-days","Dienvidkoreja","4740","20"
"lv.wikipedia","all-access","2018","02","all-days","Ziemas_olimpiskās_spēles","4669","21"
"lv.wikipedia","all-access","2018","02","all-days","Valentīna_diena","4651","22"
"lv.wikipedia","all-access","2018","02","all-days","Sengrieķu_mitoloģijas_mītu_un_tēlu_uzskaitījums","4592","23"
"lv.wikipedia","all-access","2018","02","all-days","Rīga","4546","24"
"lv.wikipedia","all-access","2018","02","all-days","Vikiprojekts:Ziemas_olimpisko_spēļu_konkurss","4450","25"
"lv.wikipedia","all-access","2018","02","all-days","Austrālija","4284","26"
"lv.wikipedia","all-access","2018","02","all-days","Special:CiteThisPage","4206","27"
"lv.wikipedia","all-access","2018","02","all-days","Special:Book","4160","28"
"lv.wikipedia","all-access","2018","02","all-days","Mairis_Briedis","4149","29"
"lv.wikipedia","all-access","2018","02","all-days","Vikipēdija","4054","30"
"lv.wikipedia","all-access","2018","02","all-days","Lietuva","3901","31"
"lv.wikipedia","all-access","2018","02","all-days","Suleimans_I","3858","32"
"lv.wikipedia","all-access","2018","02","all-days","Special:ElectronPdf","3793","33"
"lv.wikipedia","all-access","2018","02","all-days","Krievija","3739","34"
"lv.wikipedia","all-access","2018","02","all-days","Latvijas_vēsture","3666","35"
"lv.wikipedia","all-access","2018","02","all-days","Special:Watchlist","3624","36"
"lv.wikipedia","all-access","2018","02","all-days","Pelnu_diena","3410","37"
"lv.wikipedia","all-access","2018","02","all-days","Titāniks","3343","38"
"lv.wikipedia","all-access","2018","02","all-days","Vācija","3208","39"
"lv.wikipedia","all-access","2018","02","all-days","Olimpiskie_sporta_veidi","3192","40"
"lv.wikipedia","all-access","2018","02","all-days","Palīdzība:Saturs","3104","41"
"lv.wikipedia","all-access","2018","02","all-days","Igaunija","3075","42"
"lv.wikipedia","all-access","2018","02","all-days","Vispārējie_latviešu_Dziesmu_un_Deju_svētki","3054","43"
"lv.wikipedia","all-access","2018","02","all-days","Eiropa","3051","44"
"lv.wikipedia","all-access","2018","02","all-days","Pirmais_pasaules_karš","3033","45"
"lv.wikipedia","all-access","2018","02","all-days","Eiropas_Savienība","3005","46"
"lv.wikipedia","all-access","2018","02","all-days","Bobslejs_2018._gada_ziemas_olimpiskajās_spēlēs","2981","47"
"lv.wikipedia","all-access","2018","02","all-days","Oskars_Melbārdis","2912","48"
"lv.wikipedia","all-access","2018","02","all-days","Mākslinieciskās_izteiksmes_līdzeklis","2910","49"
"lv.wikipedia","all-access","2018","02","all-days","Ķīmisko_elementu_periodiskā_tabula","2879","50"
"lv.wikipedia","all-access","2018","02","all-days","Senā_Grieķija","2868","51"
"lv.wikipedia","all-access","2018","02","all-days","Laura_Rizoto","2844","52"
"lv.wikipedia","all-access","2018","02","all-days","Olbaltumvielas","2829","53"
"lv.wikipedia","all-access","2018","02","all-days","Harijs_Poters","2822","54"
"lv.wikipedia","all-access","2018","02","all-days","Ķīna","2774","55"
"lv.wikipedia","all-access","2018","02","all-days","Rūdolfs_Blaumanis","2765","56"
"lv.wikipedia","all-access","2018","02","all-days","Ziemeļkoreja","2757","57"
"lv.wikipedia","all-access","2018","02","all-days","Japāna","2714","58"
"lv.wikipedia","all-access","2018","02","all-days","Latvijas_pilsētu_uzskaitījums","2676","59"
"lv.wikipedia","all-access","2018","02","all-days","Āfrika","2636","60"
"lv.wikipedia","all-access","2018","02","all-days","Kristaps_Porziņģis","2633","61"
"lv.wikipedia","all-access","2018","02","all-days","Herberts_Cukurs","2552","62"
"lv.wikipedia","all-access","2018","02","all-days","Baltijas_jūra","2551","63"
"lv.wikipedia","all-access","2018","02","all-days","Amerikas_Savienotās_Valstis","2546","64"
"lv.wikipedia","all-access","2018","02","all-days","Latviešu_alfabēts","2543","65"
"lv.wikipedia","all-access","2018","02","all-days","Indija","2541","66"
"lv.wikipedia","all-access","2018","02","all-days","Phjončhana","2525","67"
"lv.wikipedia","all-access","2018","02","all-days","Dagmāra_Legante","2505","68"
"lv.wikipedia","all-access","2018","02","all-days","Latvijas_PSR","2444","69"
"lv.wikipedia","all-access","2018","02","all-days","Zeme","2415","70"
"lv.wikipedia","all-access","2018","02","all-days","Renesanse","2411","71"
"lv.wikipedia","all-access","2018","02","all-days","Francija","2404","72"
"lv.wikipedia","all-access","2018","02","all-days","Padomju_Savienība","2398","73"
"lv.wikipedia","all-access","2018","02","all-days","Daugava","2387","74"
"lv.wikipedia","all-access","2018","02","all-days","Imants_Ziedonis","2385","75"
"lv.wikipedia","all-access","2018","02","all-days","Latviešu_valoda","2337","76"
"lv.wikipedia","all-access","2018","02","all-days","Supernova_2018","2330","77"
"lv.wikipedia","all-access","2018","02","all-days","Haralds_Silovs","2329","78"
"lv.wikipedia","all-access","2018","02","all-days","Olimpiskie_simboli","2311","79"
"lv.wikipedia","all-access","2018","02","all-days","Vārdšķira","2309","80"
"lv.wikipedia","all-access","2018","02","all-days","Spānija","2305","81"
"lv.wikipedia","all-access","2018","02","all-days","Senā_Roma","2293","82"
"lv.wikipedia","all-access","2018","02","all-days","Antarktīda","2288","83"
"lv.wikipedia","all-access","2018","02","all-days","Apvienotā_Karaliste","2286","84"
"lv.wikipedia","all-access","2018","02","all-days","Brīvības_piemineklis","2271","85"
"lv.wikipedia","all-access","2018","02","all-days","Latvijas_okupācija_(1940)","2227","86"
"lv.wikipedia","all-access","2018","02","all-days","Lieldienas","2219","87"
"lv.wikipedia","all-access","2018","02","all-days","2018._gada_Pasaules_čempionāts_hokejā","2208","88"
"lv.wikipedia","all-access","2018","02","all-days","Latvijas_ezeru_uzskaitījums","2205","89"
"lv.wikipedia","all-access","2018","02","all-days","23._februāris","2201","90"
"lv.wikipedia","all-access","2018","02","all-days","Rainis","2180","91"
"lv.wikipedia","all-access","2018","02","all-days","RSS_protokols","2173","92"
"lv.wikipedia","all-access","2018","02","all-days","Trigonometriskās_funkcijas","2169","93"
"lv.wikipedia","all-access","2018","02","all-days","Volfgangs_Amadejs_Mocarts","2167","94"
"lv.wikipedia","all-access","2018","02","all-days","Demokrātija","2130","95"
"lv.wikipedia","all-access","2018","02","all-days","Zivis","2125","96"
"lv.wikipedia","all-access","2018","02","all-days","Osmaņu_dinastija","2108","97"
"lv.wikipedia","all-access","2018","02","all-days","Kurzeme","2101","98"
"lv.wikipedia","all-access","2018","02","all-days","Dzīvnieki","2089","99"
"lv.wikipedia","all-access","2018","02","all-days","Aspazija","2083","100"
"lv.wikipedia","all-access","2018","02","all-days","Latgale","2064","101"
"lv.wikipedia","all-access","2018","02","all-days","Vikipēdija:Saistību_atrunas","2057","102"
"lv.wikipedia","all-access","2018","02","all-days","Svešā_seja","2053","103"
"lv.wikipedia","all-access","2018","02","all-days","Viduslaiki","2046","104"
"lv.wikipedia","all-access","2018","02","all-days","Kriminālās_ekselences_fonds","2044","105"
"lv.wikipedia","all-access","2018","02","all-days","Latvijas_Valsts_prezidents","2035","106"
"lv.wikipedia","all-access","2018","02","all-days","Latvijas_hokeja_izlase","2027","107"
"lv.wikipedia","all-access","2018","02","all-days","Autoritārais_Kārļa_Ulmaņa_režīms","2027","107"
"lv.wikipedia","all-access","2018","02","all-days","Liepāja","2010","109"
"lv.wikipedia","all-access","2018","02","all-days","Itālija","2005","110"
"lv.wikipedia","all-access","2018","02","all-days","Latvijas_pilsētu_ģerboņi","1976","111"
"lv.wikipedia","all-access","2018","02","all-days","Romiešu_skaitļi","1969","112"
"lv.wikipedia","all-access","2018","02","all-days","Ūdens","1967","113"
"lv.wikipedia","all-access","2018","02","all-days","Kategorija:Grieķu_dievi","1964","114"
"lv.wikipedia","all-access","2018","02","all-days","Latvijas_svētku,_atceres_un_atzīmējamās_dienas","1953","115"
"lv.wikipedia","all-access","2018","02","all-days","Papīra_lapas_formāts","1944","116"
"lv.wikipedia","all-access","2018","02","all-days","Bitcoin","1941","117"
"lv.wikipedia","all-access","2018","02","all-days","Dievs,_svētī_Latviju","1925","118"
"lv.wikipedia","all-access","2018","02","all-days","Šveice","1923","119"
"lv.wikipedia","all-access","2018","02","all-days","Āzija","1922","120"
"lv.wikipedia","all-access","2018","02","all-days","Enerģija","1907","121"
"lv.wikipedia","all-access","2018","02","all-days","Antīkās_olimpiskās_spēles","1898","122"
"lv.wikipedia","all-access","2018","02","all-days","Latvijas_Republikas_Satversme","1896","123"
"lv.wikipedia","all-access","2018","02","all-days","Saules_sistēma","1890","124"
"lv.wikipedia","all-access","2018","02","all-days","Latvijas_brīvības_cīņas","1884","125"
"lv.wikipedia","all-access","2018","02","all-days","Jaunlatvieši","1884","125"
"lv.wikipedia","all-access","2018","02","all-days","Latvijas_karogs","1881","127"
"lv.wikipedia","all-access","2018","02","all-days","Abinieki","1868","128"
"lv.wikipedia","all-access","2018","02","all-days","Nīderlande","1861","129"
"lv.wikipedia","all-access","2018","02","all-days","Zviedrija","1860","130"
"lv.wikipedia","all-access","2018","02","all-days","Kārlis_Ulmanis","1857","131"
"lv.wikipedia","all-access","2018","02","all-days","Basketbols","1846","132"
"lv.wikipedia","all-access","2018","02","all-days","Vikipēdija:Par","1845","133"
"lv.wikipedia","all-access","2018","02","all-days","Daiļslidošana_2018._gada_ziemas_olimpiskajās_spēlēs","1843","134"
"lv.wikipedia","all-access","2018","02","all-days","Molotova—Ribentropa_pakts","1837","135"
"lv.wikipedia","all-access","2018","02","all-days","Reformācija","1835","136"
"lv.wikipedia","all-access","2018","02","all-days","Baroks","1832","137"
"lv.wikipedia","all-access","2018","02","all-days","Savanna","1824","138"
"lv.wikipedia","all-access","2018","02","all-days","Biatlons","1822","139"
"lv.wikipedia","all-access","2018","02","all-days","Mēness","1820","140"
"lv.wikipedia","all-access","2018","02","all-days","Latvijas_demogrāfija","1818","141"
"lv.wikipedia","all-access","2018","02","all-days","Franču_revolūcija","1815","142"
"lv.wikipedia","all-access","2018","02","all-days","Vietniekvārds","1810","143"
"lv.wikipedia","all-access","2018","02","all-days","Jauda","1810","143"
"lv.wikipedia","all-access","2018","02","all-days","Starptautiskā_mērvienību_sistēma","1807","145"
"lv.wikipedia","all-access","2018","02","all-days","Kukaiņi","1803","146"
"lv.wikipedia","all-access","2018","02","all-days","Gremošanas_orgānu_sistēma","1800","147"
"lv.wikipedia","all-access","2018","02","all-days","Mitrais_tropu_mežs","1798","148"
"lv.wikipedia","all-access","2018","02","all-days","Vidzeme","1790","149"
"lv.wikipedia","all-access","2018","02","all-days","Biatlons_2018._gada_ziemas_olimpiskajās_spēlēs","1784","150"
"lv.wikipedia","all-access","2018","02","all-days","Norvēģija","1783","151"
"lv.wikipedia","all-access","2018","02","all-days","Raimonds_Pauls","1775","152"
"lv.wikipedia","all-access","2018","02","all-days","Barikāžu_laiks","1771","153"
"lv.wikipedia","all-access","2018","02","all-days","Nafta","1768","154"
"lv.wikipedia","all-access","2018","02","all-days","Special:WhatLinksHere","1761","155"
"lv.wikipedia","all-access","2018","02","all-days","Kaķis","1745","156"
"lv.wikipedia","all-access","2018","02","all-days","Special:RecentChangesLinked","1730","157"
"lv.wikipedia","all-access","2018","02","all-days","Turcija","1730","157"
"lv.wikipedia","all-access","2018","02","all-days","Jāņi","1725","159"
"lv.wikipedia","all-access","2018","02","all-days","Valmiera","1723","160"
"lv.wikipedia","all-access","2018","02","all-days","Somija","1718","161"
"lv.wikipedia","all-access","2018","02","all-days","Gauja","1716","162"
"lv.wikipedia","all-access","2018","02","all-days","Hokejs","1706","163"
"lv.wikipedia","all-access","2018","02","all-days","Iekšdedzes_dzinējs","1705","164"
"lv.wikipedia","all-access","2018","02","all-days","Valstu_uzskaitījums_pēc_iedzīvotāju_skaita","1697","165"
"lv.wikipedia","all-access","2018","02","all-days","ISBN","1695","166"
"lv.wikipedia","all-access","2018","02","all-days","ISO_8601","1685","167"
"lv.wikipedia","all-access","2018","02","all-days","Tuksnesis","1684","168"
"lv.wikipedia","all-access","2018","02","all-days","Tomass_Dukurs","1679","169"
"lv.wikipedia","all-access","2018","02","all-days","Izraēla","1676","170"
"lv.wikipedia","all-access","2018","02","all-days","Nieres","1673","171"
"lv.wikipedia","all-access","2018","02","all-days","Pitagora_teorēma","1668","172"
"lv.wikipedia","all-access","2018","02","all-days","Saeima","1663","173"
"lv.wikipedia","all-access","2018","02","all-days","Kategorija:Latviešu_rakstnieki","1661","174"
"lv.wikipedia","all-access","2018","02","all-days","Norvik_Banka","1645","175"
"lv.wikipedia","all-access","2018","02","all-days","Riņķa_līnija","1638","176"
"lv.wikipedia","all-access","2018","02","all-days","Rīgas_vēsture","1638","176"
"lv.wikipedia","all-access","2018","02","all-days","Latvijas_administratīvais_iedalījums","1635","178"
"lv.wikipedia","all-access","2018","02","all-days","Vikipēdija:Kontakti","1635","178"
"lv.wikipedia","all-access","2018","02","all-days","Kanāda","1631","180"
"lv.wikipedia","all-access","2018","02","all-days","Zemgale","1630","181"
"lv.wikipedia","all-access","2018","02","all-days","Polija","1629","182"
"lv.wikipedia","all-access","2018","02","all-days","Daumants_Dreiškens","1619","183"
"lv.wikipedia","all-access","2018","02","all-days","Angļu_valoda","1610","184"
"lv.wikipedia","all-access","2018","02","all-days","2018._gada_ziemas_olimpisko_spēļu_komandu_vērtējums","1599","185"
"lv.wikipedia","all-access","2018","02","all-days","Kērlings","1591","186"
"lv.wikipedia","all-access","2018","02","all-days","Vikipēdija:Kopienas_portāls","1588","187"
"lv.wikipedia","all-access","2018","02","all-days","JSON","1588","187"
"lv.wikipedia","all-access","2018","02","all-days","Trijstūris","1585","189"
"lv.wikipedia","all-access","2018","02","all-days","Ogleklis","1583","190"
"lv.wikipedia","all-access","2018","02","all-days","Sīkdatne","1579","191"
"lv.wikipedia","all-access","2018","02","all-days","Vasaras_olimpiskās_spēles","1574","192"
"lv.wikipedia","all-access","2018","02","all-days","Deniss_Vasiļjevs","1571","193"
"lv.wikipedia","all-access","2018","02","all-days","Emīls_Dārziņš","1569","194"
"lv.wikipedia","all-access","2018","02","all-days","Roksolana","1560","195"
"lv.wikipedia","all-access","2018","02","all-days","Markus_Riva","1556","196"
"lv.wikipedia","all-access","2018","02","all-days","Islande","1544","197"
"lv.wikipedia","all-access","2018","02","all-days","Pēteris_Čaikovskis","1542","198"
"lv.wikipedia","all-access","2018","02","all-days","Latvijas_ģerbonis","1536","199"
"lv.wikipedia","all-access","2018","02","all-days","Lāčplēsis_(eposs)","1530","200"
"lv.wikipedia","all-access","2018","02","all-days","Latviešu_virtuve","1530","200"
"lv.wikipedia","all-access","2018","02","all-days","Attēls:XHamster_logo_2016.png","1528","202"
"lv.wikipedia","all-access","2018","02","all-days","Zodiaks","1527","203"
"lv.wikipedia","all-access","2018","02","all-days","Suns","1524","204"
"lv.wikipedia","all-access","2018","02","all-days","NATO","1521","205"
"lv.wikipedia","all-access","2018","02","all-days","Johans_Sebastians_Bahs","1521","205"
"lv.wikipedia","all-access","2018","02","all-days","Aukstais_karš","1521","205"
"lv.wikipedia","all-access","2018","02","all-days","Latvijas_klimats","1519","208"
"lv.wikipedia","all-access","2018","02","all-days","Romantisms","1510","209"
"lv.wikipedia","all-access","2018","02","all-days","Koreja","1508","210"
"lv.wikipedia","all-access","2018","02","all-days","Putni","1503","211"
"lv.wikipedia","all-access","2018","02","all-days","Special:Statistics","1501","212"
"lv.wikipedia","all-access","2018","02","all-days","Kristietība","1500","213"
"lv.wikipedia","all-access","2018","02","all-days","Romas_impērija","1500","213"
"lv.wikipedia","all-access","2018","02","all-days","Ojārs_Vācietis","1491","215"
"lv.wikipedia","all-access","2018","02","all-days","Dānija","1486","216"
"lv.wikipedia","all-access","2018","02","all-days","Ēģipte","1486","216"
"lv.wikipedia","all-access","2018","02","all-days","Latvijas_ekonomika","1481","218"
"lv.wikipedia","all-access","2018","02","all-days","Harijs_Poters_(filmu_sērija)","1479","219"
"lv.wikipedia","all-access","2018","02","all-days","Opera","1472","220"
"lv.wikipedia","all-access","2018","02","all-days","Kriptonauda","1472","220"
"lv.wikipedia","all-access","2018","02","all-days","Livonija","1467","222"
"lv.wikipedia","all-access","2018","02","all-days","Latvijas_Republikas_Ministru_kabinets","1464","223"
"lv.wikipedia","all-access","2018","02","all-days","Ogļhidrāti","1463","224"
"lv.wikipedia","all-access","2018","02","all-days","Latviešu_strēlnieki","1463","224"
"lv.wikipedia","all-access","2018","02","all-days","Livonijas_karš","1458","226"
"lv.wikipedia","all-access","2018","02","all-days","Latviešu_leģions","1457","227"
"lv.wikipedia","all-access","2018","02","all-days","Senā_Ēģipte","1456","228"
"lv.wikipedia","all-access","2018","02","all-days","2014._gada_ziemas_olimpiskās_spēles","1456","228"
"lv.wikipedia","all-access","2018","02","all-days","Olimpiskie_sportisti_no_Krievijas_2018._gada_ziemas_olimpiskajās_spēlēs","1451","230"
"lv.wikipedia","all-access","2018","02","all-days","Bobslejs","1451","230"
"lv.wikipedia","all-access","2018","02","all-days","Krišjānis_Barons","1450","232"
"lv.wikipedia","all-access","2018","02","all-days","Daiļslidošana","1448","233"
"lv.wikipedia","all-access","2018","02","all-days","Malta","1446","234"
"lv.wikipedia","all-access","2018","02","all-days","Aleksandrs_Lielais","1446","234"
"lv.wikipedia","all-access","2018","02","all-days","Skaņa","1443","236"
"lv.wikipedia","all-access","2018","02","all-days","Starptautisko_tālsarunu_kodu_saraksts","1440","237"
"lv.wikipedia","all-access","2018","02","all-days","Latvijas_valsts_pasludināšana","1437","238"
"lv.wikipedia","all-access","2018","02","all-days","Skeletons_2018._gada_ziemas_olimpiskajās_spēlēs","1436","239"
"lv.wikipedia","all-access","2018","02","all-days","Napoleons_Bonaparts","1436","239"
"lv.wikipedia","all-access","2018","02","all-days","Indonēzija","1433","241"
"lv.wikipedia","all-access","2018","02","all-days","Portugāle","1429","242"
"lv.wikipedia","all-access","2018","02","all-days","Osmaņu_impērija","1426","243"
"lv.wikipedia","all-access","2018","02","all-days","Cēsis","1414","244"
"lv.wikipedia","all-access","2018","02","all-days","Jelgava","1414","244"
"lv.wikipedia","all-access","2018","02","all-days","Dzelzs","1413","246"
"lv.wikipedia","all-access","2018","02","all-days","Starptautiskā_sieviešu_diena","1395","247"
"lv.wikipedia","all-access","2018","02","all-days","Pelēkais_vilks","1390","248"
"lv.wikipedia","all-access","2018","02","all-days","Purva_bridējs","1383","249"
"lv.wikipedia","all-access","2018","02","all-days","Jaunzēlande","1376","250"
"lv.wikipedia","all-access","2018","02","all-days","Josifs_Staļins","1373","251"
"lv.wikipedia","all-access","2018","02","all-days","Azbests","1369","252"
"lv.wikipedia","all-access","2018","02","all-days","Rāpuļi","1366","253"
"lv.wikipedia","all-access","2018","02","all-days","Depeche_Mode","1361","254"
"lv.wikipedia","all-access","2018","02","all-days","Latviešu_mitoloģija","1360","255"
"lv.wikipedia","all-access","2018","02","all-days","Oma_likums","1359","256"
"lv.wikipedia","all-access","2018","02","all-days","Krusta_kari","1357","257"
"lv.wikipedia","all-access","2018","02","all-days","Lielā_zīlīte","1356","258"
"lv.wikipedia","all-access","2018","02","all-days","Kurzemes_un_Zemgales_hercogiste","1355","259"
"lv.wikipedia","all-access","2018","02","all-days","Grieķija","1354","260"
"lv.wikipedia","all-access","2018","02","all-days","Ādolfs_Hitlers","1352","261"
"lv.wikipedia","all-access","2018","02","all-days","Rundāles_pils","1348","262"
"lv.wikipedia","all-access","2018","02","all-days","Laika_josla","1347","263"
"lv.wikipedia","all-access","2018","02","all-days","Kontinents","1344","264"
"lv.wikipedia","all-access","2018","02","all-days","Daugavpils","1339","265"
"lv.wikipedia","all-access","2018","02","all-days","Anglija","1339","265"
"lv.wikipedia","all-access","2018","02","all-days","Dators","1336","267"
"lv.wikipedia","all-access","2018","02","all-days","Epitets","1333","268"
"lv.wikipedia","all-access","2018","02","all-days","Dienvidamerika","1331","269"
"lv.wikipedia","all-access","2018","02","all-days","Ziemassvētki","1331","269"
"lv.wikipedia","all-access","2018","02","all-days","1905._gada_revolūcija_Latvijā","1328","271"
"lv.wikipedia","all-access","2018","02","all-days","Andrejs_Rastorgujevs","1325","272"
"lv.wikipedia","all-access","2018","02","all-days","Jūgendstils","1324","273"
"lv.wikipedia","all-access","2018","02","all-days","Attēls:Config-date.png","1323","274"
"lv.wikipedia","all-access","2018","02","all-days","Impresionisms","1319","275"
"lv.wikipedia","all-access","2018","02","all-days","Selims_II","1316","276"
"lv.wikipedia","all-access","2018","02","all-days","Valstu_uzskaitījums_pēc_platības","1314","277"
"lv.wikipedia","all-access","2018","02","all-days","Autisms","1312","278"
"lv.wikipedia","all-access","2018","02","all-days","Ziemas_karš","1310","279"
"lv.wikipedia","all-access","2018","02","all-days","Upe","1309","280"
"lv.wikipedia","all-access","2018","02","all-days","Perimetrs","1307","281"
"lv.wikipedia","all-access","2018","02","all-days","Etanols","1307","281"
"lv.wikipedia","all-access","2018","02","all-days","Latvijas_ģeogrāfija","1299","283"
"lv.wikipedia","all-access","2018","02","all-days","Brazīlija","1298","284"
"lv.wikipedia","all-access","2018","02","all-days","Ieži","1293","285"
"lv.wikipedia","all-access","2018","02","all-days","Ātrslidošana_2018._gada_ziemas_olimpiskajās_spēlēs","1291","286"
"lv.wikipedia","all-access","2018","02","all-days","Fotosintēze","1287","287"
"lv.wikipedia","all-access","2018","02","all-days","Latvija_2014._gada_ziemas_olimpiskajās_spēlēs","1285","288"
"lv.wikipedia","all-access","2018","02","all-days","Alfabēts","1281","289"
"lv.wikipedia","all-access","2018","02","all-days","Metafora","1273","290"
"lv.wikipedia","all-access","2018","02","all-days","Sirds","1270","291"
"lv.wikipedia","all-access","2018","02","all-days","Islāms","1269","292"
"lv.wikipedia","all-access","2018","02","all-days","Latvijas_naudas_vēsture","1264","293"
"lv.wikipedia","all-access","2018","02","all-days","Tērauds","1262","294"
"lv.wikipedia","all-access","2018","02","all-days","Attēls:Crystal_Clear_app_kedit.png","1255","295"
"lv.wikipedia","all-access","2018","02","all-days","Mērnieku_laiki","1254","296"
"lv.wikipedia","all-access","2018","02","all-days","Mūzikas_instruments","1246","297"
"lv.wikipedia","all-access","2018","02","all-days","Raimonds_Vējonis","1244","298"
"lv.wikipedia","all-access","2018","02","all-days","Latvijas_vācu_okupācija_(1941—1945)","1243","299"
"lv.wikipedia","all-access","2018","02","all-days","Agrārā_reforma_Latvijā","1238","300"
"lv.wikipedia","all-access","2018","02","all-days","Veidne:Latvijas_lielākās_pilsētas","1235","301"
"lv.wikipedia","all-access","2018","02","all-days","Kāpināšana","1234","302"
"lv.wikipedia","all-access","2018","02","all-days","Apgaismības_laikmets","1233","303"
"lv.wikipedia","all-access","2018","02","all-days","Māra_Zālīte","1233","303"
"lv.wikipedia","all-access","2018","02","all-days","2018._gada_Eirovīzijas_dziesmu_konkurss","1232","305"
"lv.wikipedia","all-access","2018","02","all-days","Futbols","1230","306"
"lv.wikipedia","all-access","2018","02","all-days","Rēzekne","1229","307"
"lv.wikipedia","all-access","2018","02","all-days","Bronhīts","1220","308"
"lv.wikipedia","all-access","2018","02","all-days","Jānis_Čakste","1220","308"
"lv.wikipedia","all-access","2018","02","all-days","Grāmatvedība","1219","310"
"lv.wikipedia","all-access","2018","02","all-days","Slāpeklis","1218","311"
"lv.wikipedia","all-access","2018","02","all-days","Taizeme","1211","312"
"lv.wikipedia","all-access","2018","02","all-days","Sporta_veidu_saraksts","1210","313"
"lv.wikipedia","all-access","2018","02","all-days","Interneta_medija_tips","1208","314"
"lv.wikipedia","all-access","2018","02","all-days","Eiro","1205","315"
"lv.wikipedia","all-access","2018","02","all-days","LP_(dziedātāja)","1204","316"
"lv.wikipedia","all-access","2018","02","all-days","Balets","1204","316"
"lv.wikipedia","all-access","2018","02","all-days","Cilvēka_temperaments","1202","318"
"lv.wikipedia","all-access","2018","02","all-days","Masalas","1202","318"
"lv.wikipedia","all-access","2018","02","all-days","Trapece","1201","320"
"lv.wikipedia","all-access","2018","02","all-days","Latvijas_vēstures_hronoloģija","1199","321"
"lv.wikipedia","all-access","2018","02","all-days","Kipra","1198","322"
"lv.wikipedia","all-access","2018","02","all-days","Latvieši","1196","323"
"lv.wikipedia","all-access","2018","02","all-days","Jūrmala","1196","323"
